word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
бескомпромиссность	Из-за своей <b><i>бескомпромиссности</i></b> в этих вопросах стал крайне неудобным человеком для Кремля.	Между тем, этот по-французски писавший поэт, критик и -- кто еще -- уже здесь начинаются сложности и темноты -- почему он, Двигубский, позволит себе просто повторить блеклое слово автор -- между тем, еще раз, этот писавший по-французски автор румынско-еврейского происхождения имеет самое непосредственное касательство к истории русской философии, поскольку его можно считать, и он сам считал себя, единственным учеником Льва Шестова, философа, как все здесь присутствующие прекрасно знают, слишком своеобразного, парадоксального и, если угодно, экзотического, чтобы иметь учеников, или, скажем иначе, философа, у которого если и мог бы какой-нибудь ученик, то вот только такой, не уступавший ему, на своей лад, в парадоксализме и своеобразии, в отчаянной безоглядности и беспощадной <b><i>бескомпромиссности,</i></b> граничащей, пожалуй, с чудачеством и, в высоком смысле слова, юродством.	LATER	4.0	4	4	4	4	4
бескомпромиссность	"Иначе говоря, глава государства вновь подтвердил: <b><i>бескомпромиссность</i></b> остается главным инструментом ""чеченского урегулирования""."	Это исключительно интересное свидетельство одного из Вагнеров о жизни членов вагнеровского клана, их повседневных днях, связанных с Байройтом, их нацистской <b><i>бескомпромиссности</i></b> (как уже говорилось -- бабушка Винифред была душой всего этого), интриг, скандалов, сопутствующих их жизни и по сей день.	LATER	4.0	4	4	4	4	4
бескомпромиссность	Мысль эту, впрочем, я до конца не додумал, потому что в темноте надо мной звенел убийственный комар (у Артема был только один фумигатор, который, благодаря свойственной юности <b><i>бескомпромиссности,</i></b> мне не достался) -- то приближаясь, то удаляясь, то замолкая, то вновь теребя струну своего изводящего писка.	"Как бы ни различались учители Израиля по своему характеру, темпераменту и общественному положению, их всех объединяла <b><i>бескомпромиссность</i></b> в отношении к отступникам, тиранам и лицемерам, которые надеялись ""задобрить"" Творца дарами и жертвами."	COMPARE	4.0	4	4	4	4	4
бескомпромиссность	Наиболее полно эта <b><i>бескомпромиссность</i></b> явилась в образе Григория, для которого жизнь, в сущности, означает выбор пути.	"Что лишь в первоначальную эпоху своего вхождения в мир они могут соблюдать почти монашескую аскетическую суровость, <b><i>бескомпромиссность,</i></b> ""чистоту риз""."	EARLIER	3.6	4	4	4	2	4
бескомпромиссность	"Но был огромный талант, и отсюда -- психология всесилия, вызова, требования, самоутверждения (не как человека, а как поэта), <b><i>бескомпромиссности</i></b> (утверждения несомненной правды своего искусства при слепоте к ""искусству правды"")."	"Отсутствия чувства меры, того приятия жизни -- то есть повседневности, которое необходимо для победы над ней, присутствия пафоса, требования, ""бескомпромиссности"" и потому своего рода мании преследования."	EARLIER	3.8	4	3	4	4	4
бескомпромиссность	Однако, зная <b><i>бескомпромиссность</i></b> Полянского и степень его озабоченности нуждами американских налогоплательщиков, можно предположить, что он не успокоится и продолжит извещать посла о саратовских злоупотреблениях.	Вы столкнетесь с такой яростью и <b><i>бескомпромиссностью,</i></b> что от вас потребуется недюжинное мужество, чтобы не дрогнуть и, по крайней мере, не посторониться, выпуская зверя из угла, -- ну, хотя бы пробормотав, что, может быть, вы не все тут понимаете, поскольку Джонстаун -- явление в своем роде единственное, история опыта на накопила, да и вы, простой смертный, не о всем же можете судить.	COMPARE	3.8	4	4	4	4	3
бескомпромиссность	"Одно из фундаментальных положений доктрины Нухаева -- апелляция к фатальной <b><i>бескомпромиссности</i></b> тех, кого он называет ""воинами Аллаха"" и которые путем джихада идут ""к одной и той же конечной цели."	<b><i>Бескомпромиссность</i></b> высказанных в ней суждений, впрочем, не могла всем понравиться.	LATER	4.0	4	4	4	4	4
бескомпромиссность	Правда, наследственные резкость и <b><i>бескомпромиссность,</i></b> несдержанность в выражении мыслей зачастую умножали ряды политических противников премьера.	<b><i>Бескомпромиссность</i></b> часто толкает к крайностям.	LATER	4.0	4	4	4	4	4
бескомпромиссность	"Предваряя статью двух следователей, редакция писала: ""...короткая, резкая, как выстрел, фамилия руководителя следственной группы Прокуратуры СССР -- Гдлян стала символом честности и <b><i>бескомпромиссности"".</i></b>"	У многих, как говорится, глаза лезли на лоб: такой жесткой <b><i>бескомпромиссности</i></b> от Кокошина не ждали.	LATER	4.0	4	4	4	4	4
бескомпромиссность	Прямые и жесткие -- <b><i>бескомпромиссность.</i></b>	"Наверняка губернаторская ""бескомпромиссность"" найдет отклик у многих депутатов и привлечет сторонников."	LATER	3.6	4	4	3	4	3
бескомпромиссность	"Согласитесь: назвать ровесника, да еще соперника в поэзии среди учителей, назвать по-пушкински ""учителей"" (с ударением на первом слоге) такое требует великодушия и <b><i>бескомпромиссности.</i></b>"	Несмотря на жестокость и <b><i>бескомпромиссность,</i></b> Жора Макинтош слыл человеком по-своему даже гуманным: ходили забавные истории о том, как во время иных краж и грабежей он проявлял какое-то до странности трогательное милосердие.	LATER	4.0	4	4	4	4	4
бескомпромиссность	Такая <b><i>бескомпромиссность</i></b> заслуживает всяческого уважения, но.	"Такая ситуация со всей исторической радикальностью и <b><i>бескомпромиссностью</i></b> ставит духовного производителя перед необходимостью изыскания иных, отличных от навыков и процедур традиционной философии рефлексии способов ""уяснения самому себе своего собственного сознания"" (Маркс) [12] и, добавим мы, своего бытия в качестве мыслящего."	COMPARE	4.0	4	4	4	4	4
бескомпромиссность	Уверенно взятая первая нота предопределила и дальнейшую <b><i>бескомпромиссность.</i></b>	Почему застопорилась его советская судьба Говорят о его несговорчивости, неуступчивости, <b><i>бескомпромиссности</i></b> -- строчку, мол, не давал изменить, тоже мне барин.	COMPARE	3.6	4	3	4	3	4
бескомпромиссность	Факт остается фактом: урок принципиальности и <b><i>бескомпромиссности</i></b> был преподан -- наглядно и прилюдно.	Те же, кто когда-то травил его и преследовал, как зверя, теперь дружно восхваляли его <b><i>бескомпромиссность;</i></b> они теперь наперебой лебезили и заискивали перед нею, не женой и не вдовой, надеясь заработать себе прощение.	EARLIER	3.8	4	4	4	4	3
бескомпромиссность	Хмелев своей <b><i>бескомпромиссностью</i></b> добился худшего из возможных результатов: он заставил Чарнолуского действовать -- и действовать не по приказу свыше, а по зову оскорбленного самолюбия.	"Но вовсе из подозрения не вышел, раз уж пятнадцатью годами позже, в письме из эмиграции, из США, читал сказанное не в укор, в похвалу: ""Дорогой Стасик! я убедился в этом еще раз -- гораздо трудней проявлять <b><i>бескомпромиссность</i></b> критериев."	LATER	3.2	4	1	3	4	4
бескомпромиссность	Хотя, конечно, не о тоталитаризме идет в данном случае речь, а лишь о необходимой жесткости и <b><i>бескомпромиссности</i></b> в вопросах сохранения стабильности окружающей среды, напрямую связанной с проблемой выживания человечества.	С настойчивостью и <b><i>бескомпромиссностью</i></b> человека, видящего зло и понимающего, кто является его носителем, Коцоев идет на приступ несправедливости.	COMPARE	3.8	4	4	3	4	4
бескомпромиссность	Юра быстренько вступил в союз и в Литфонд, быстренько женился на Кате и -- чудо, приз Бога за верность себе, гонорар за много лет бездомности, честного поэтического отвращения ко всяческой оседлости, награда за <b><i>бескомпромиссность</i></b> почти вийоновского служения -- поселился на вполне легитимных основаниях в Переделкине.	После этого он порвал с ним политические связи и со всей <b><i>бескомпромиссностью</i></b> своей импульсивной натуры стал резко оппонировать любым действиям кабинета министров.	LATER	4.0	4	4	4	4	4
бескомпромиссность	Я увидел, как украшает человека твердость в следовании к своей цели и <b><i>бескомпромиссность</i></b> перед лицом ожидающих его на избранном пути невзгод.	Горячо приветствуя Константина Сергеевича Станиславского в день его 75-летия и желая ему еще долгие годы жить и работать для расцвета советского искусства, Всесоюзный комитет по делам искусств призывает всех актеров, всех работников искусства Советской страны к тому, чтобы учиться у Станиславского принципиальности и <b><i>бескомпромиссности</i></b> в искусстве, творческому горению, учиться подлинной правде в искусстве, без которой немыслимо реалистическое советское социалистическое искусство.	COMPARE	4.0	4	4	4	4	4
беспредел	"""Мне кажется, -- говорит депутат, -- что высшую точку информационного <b><i>беспредела</i></b> мы уже прошли, пора сбавить обороты."	"Война оборачивается гибелью мирных граждан и <b><i>беспределом</i></b> ""человека с ружьем"" независимо от того, носит он форму российского солдата или облачен в камуфляж чеченского боевика."	LATER	2.6	3	3	4	1	2
беспредел	<b><i>Беспредел!</i></b>	В основе лежат процессы и механизмы, компенсирующие работнику правовой <b><i>беспредел.</i></b>	LATER	3.8	4	4	4	3	4
беспредел	Был полный произвол и <b><i>беспредел.</i></b>	"(Кстати, только наши практики решили вместо слова ""произвол"" пользоваться словом ""беспредел"", которого нет ни в одном словаре русского языка.)"	COMPARE	3.6	4	3	4	4	3
беспредел	Дорожный <b><i>беспредел</i></b> -- Я, к сожалению, пополнил список тех, кто лишился своего авто.	"Вы смотрели фильм ""Беспредел"" О жизни зэков в колонии."	COMPARE	3.0	3	3	1	4	4
беспредел	"Кстати, тему ""беспредела спецслужб"" Березовский осваивал и в ноябре 1998-го."	"Куда пропало слово ""произвол"", когда к нему подселили ""беспредел"", который оказался, если быть справедливым, словом сочным, густым и ярким А в том дело, что ""раскрутили"" слово, как смазливую и безголосую певичку или как бездарного политика-кликуху."	COMPARE	3.8	4	4	3	4	4
беспредел	"Меня мало волнует тотальное использование таких родных драгоценностей, как ""беспредел"" или ""однозначно"" (которых, кстати, нет ни в одном российском словаре)."	"Не могу представить себе, чтобы такие политические деятели, как Евгений Примаков, Олег Сысуев, Григорий Явлинский, Егор Гайдар, Сергей Кириенко, Владимир Рыжков, Геннадий Селезнев или Егор Строев (кстати, по мнению авторитетных русистов, все они говорят весьма грамотно), вдруг нежданно прорезались бы с публично произнесенным ""беспределом"" и ""однозначно"", или согрешили каким-то другим сленговым словечком, которое, как вирус, вселилось бы в их словарный запас, моя позиция не дрогнет."	EARLIER	3.2	4	4	3	1	4
беспредел	Она не сумела поставить заслон разрушительным идейным тенденциям и нравственному <b><i>беспределу.</i></b>	И <b><i>беспредел</i></b> мусоров и отступников от воровской идеи.	LATER	3.0	4	4	3	1	3
беспредел	По состоянию здоровья ему стало трудно сдерживать <b><i>беспредел</i></b> демократии, как я называю время конца восьмидесятых.	"Дмитрий Гололобов расценил действия правоохранительных органов как ""продолжение <b><i>беспредела""</i></b> в отношении компании."	LATER	3.6	4	4	3	3	4
беспредел	"Примеров прорва: ""беспредел"", ""однозначно"" -- ни у Даля, ни у Ожегова, и ни в одном из современных словарей этих слов не найти, но уже все их употребляют: и дети, и политические деятели, и литераторы, и даже дикторы телевидения."	Особенно славен был жестоким произволом и <b><i>беспределом</i></b> Крым, где покрыл себя недоброй славой известный в советской спелеологической среде Геннадий Пантюхин.	EARLIER	2.4	3	1	4	1	3
беспредел	Скоро <b><i>беспредел</i></b> примет цивилизованные, культурные формы.	<b><i>Беспредел.</i></b>	EARLIER	3.6	4	3	3	4	4
беспредел	Там обязательно будет рассказано об умопомрачении сходящего на нет в определенный момент жизни периода, в котором есть место эмоциональному <b><i>беспределу.</i></b>	Теперь, когда начался то ли <b><i>беспредел,</i></b> то ли вольница, то ли демократия, коллективные оценки содеянного в театре стали происходить реже, чем в вышеописанное время.	EARLIER	3.2	2	4	3	3	4
беспредел	"Твердая и несмущаемая воля, направленная на решение реальной проблемы (Чечня, прекращение олигархического <b><i>беспредела),</i></b> -- это внятный ответ: ""Не запугаете""."	Если с ними дружить, то кругом -- <b><i>беспредел,</i></b> а ты живешь в правовом государстве.	COMPARE	3.8	4	4	3	4	4
валюта	"-- ""Так там же <b><i>валюту</i></b> надо платить""."	Излюбленною темою для нападок оппозиции всегда была смета Особенной Канцелярии, по кредитной части, к которой можно было с большим или меньшим основанием приурочить нападки на деятельность Крестьянского Банка и еще более -- Иностранного Отделения Канцелярии, с тем, чтобы изъять из непосредственных рук Министра Финансов такое орудие, как покупка <b><i>валюты,</i></b> необходимой тому же Министру.	EARLIER	4.0	4	4	4	4	4
валюта	".."", если бы Москва нам побольше <b><i>валюты</i></b> давала."	Плачевный результат этой антрепризы можно было заранее предвидеть: Тэсье очутившись в Новороссийске, занялся игрой на <b><i>валюте,</i></b> а Делавинь по дошедшим до меня слухам из Константинополя, получал доход от выдачи паспортов белоэмигрантам.	EARLIER	3.6	3	4	4	3	4
валюта	<b><i>Валютные</i></b> новшества: <b><i>валюту</i></b> для поездок за рубеж теперь будут продавать по рыночным ценам и не более 200 долларов в год на одного человека.	Говорилось в статье и об операциях с <b><i>валютой.</i></b>	LATER	3.8	3	4	4	4	4
валюта	<b><i>Валютный</i></b> курс не устраивает наших туристов Популярность единой европейской <b><i>валюты</i></b> оказалась обратно пропорциональной российскому интересу к этим туристическим направлениям.	При этом, пока заемщик не оплатит 20-25% от стоимости жилья, погашать кредит придется по повышенной процентной ставке -- 15-16% годовых в <b><i>валюте,</i></b> после чего она снизится до 13%.	LATER	3.2	2	4	2	4	4
валюта	Аналитики полагают, что к летнему сезону-2003 все тарифы на европейские направления будут уже в новой <b><i>валюте.</i></b>	Так и шло: театр гастролировал почти каждый год в Москве, в Одессе я жил у родителей, на очередных заграничных гастролях -- в шикарных гостиницах, суточные, <b><i>валюта</i></b> (кстати, очень маленькая).	LATER	2.6	4	4	3	1	1
валюта	Ах, товарищи потомки -- на хитрости строился социализм: был экспорт, было поступление <b><i>валюты.</i></b>	Мы перестали расходовать золото на закупку хлеба за границей, экспорт хлеба стал постепенно довольно крупным источником поступления <b><i>валюты,</i></b> так необходимой нам тогда для восстановления промышленности.	EARLIER	4.0	4	4	4	4	4
валюта	В рамках Европейского сообщества, <b><i>валюты</i></b> стран-участниц которого получили статус обратимых еще в 1958 году, намечено добиться отмены все еще остающихся ограничений лишь к началу 1993 года.	Не получился у нас и выход на международный рынок, с тем чтобы продавать хлеб на Запад и приобретать необходимую <b><i>валюту.</i></b>	EARLIER	4.0	4	4	4	4	4
валюта	В то же время, принимая во внимание недостаточную научную обстановку, в какой я работаю, правительство ассигновало в необычном порядке -- Биогеохимической лаборатории, директором которой я состою, 3000 руб. <b><i>валютой</i></b> и 30000 руб. червонцами.	Пасквиль в обмен на <b><i>валюту.</i></b>	EARLIER	3.6	4	4	3	4	3
валюта	Ведь главная возможность здесь -- это оплата в свободно конвертируемой <b><i>валюте.</i></b>	В связи с развитием мирового экономического кризиса, в марте 2009 года Китай предложил на базе специальных прав заимствования создать мировую резервную <b><i>валюту,</i></b> которая могла бы заменить в этом качестве доллар США.[1] Предполагается расширить базовую <b><i>валютную</i></b> корзину.	LATER	4.0	4	4	4	4	4
валюта	Впрочем, правда у нас пережила буквально то же, что и наши финансы, -- девальвацию, инфляцию, дефолт -- и наконец превратилась в свободно конвертируемую <b><i>валюту,</i></b> имеющую бойкое хождение в средствах массовой информации.	-- И в чем разница -- Еврооблигации в основном выпущены весьма надежными заемщиками, номинированы в иностранной <b><i>валюте</i></b> и среди подобного класса инструментов предлагают очень привлекательную доходность как для иностранных покупателей, так и для российских.	LATER	3.4	4	4	3	4	2
валюта	Все остальное будет зависеть исключительно от внешних факторов: цен на нефть или серьезных колебаний мировых <b><i>валют.</i></b>	Я начинаю снимать Жоржа Баланчина и его балет, хотя договоренности у Минкульта с американцами нет -- возьмут ли они с нас <b><i>валюту</i></b> Если потребуют -- мы закроем картину.	COMPARE	2.6	3	1	3	3	3
валюта	"Вспомним, однако, ""черное золото"": оно ведь тоже не является <b><i>валютой,</i></b> но государство, по идее, контролирует все его передвижения благодаря владению ""Транснефтью""."	-- Вы, товарищ майор, -- сказал отец Пётр, -- подымите вот этот бумажник, сосчитайте находящуюся там <b><i>валюту</i></b> и будьте добры дать мне расписку в том, что такую-то сумму вы там нашли.	COMPARE	2.6	3	4	4	1	1
валюта	Джексон заявил, что он собирается заинтересовать центральные банки, которые, используя систему компьютерной <b><i>валюты,</i></b> могут использовать свои огромные золотые запасы для операций с капиталами.	Хотя, будь такие <b><i>валютные</i></b> аукционы, они могли бы купить <b><i>валюту</i></b> -- рубли-то у них есть -- и поехать торговать.	COMPARE	3.2	3	3	4	2	4
валюта	ЕЦБ пошел на резкое смягчение кредитно-денежной политики Рост доллара ускорился Курс доллара, взвешенный по корзине <b><i>валют</i></b> (USD Index), заметно вырос, составив днем 5 сентября 83,75 (+1,2% по итогам прошедшей недели).	Установлен был курс германской марки в 75 копеек донской <b><i>валюты,</i></b> сделана была расценка русской винтовки с 30 патронами в один пуд пшеницы или ржи, заключен был контракт на поставку аэропланов, орудий, винтовок, снарядов, патронов и т. п., установлено было соглашение, что в случае совместного участия германских и донских войск половина военной добычи передавалась донскому войску безвозмездно, выработаны были планы действий под Батайском.	COMPARE	3.8	4	4	3	4	4
валюта	ЗОРЬКИН В.Д. Я же Вас спрашиваю не о получении <b><i>валюты,</i></b> я Вас спросил об издании книг, в связи с чем Вы задали этот вопрос ИВАНОВ Ю.П. Гонорар за книгу -- это <b><i>валютный</i></b> доход.	Партнер Арчила, едва увидев его на пороге своего офиса в таком приподнятом настроении, заволновался и тут же отдал долг, вытащив <b><i>валюту</i></b> из сейфа.	LATER	3.6	3	3	4	4	4
валюта	Закон о вывозе <b><i>валютных</i></b> ценностей за границу, состоящий из двух постановлений от 4 апреля 1923 года, регламентировал порядок вывоза из страны иностранной <b><i>валюты</i></b> и золота.	Брильянтов великий комбинатор достал только на четыреста тысяч; <b><i>валюты,</i></b> в том числе каких-то сомнительных польских и балканских денег, удалось достать только на пятьдесят тысяч.	EARLIER	4.0	4	4	4	4	4
валюта	Захватить банки и финансовые учреждения, захватить оставшуюся <b><i>валюту</i></b> и банкноты.	Объединене работаетъ на гаранти отъ мстныхъ отдловъ наробраза На отхожихъ промыслахъ Соскучившеся по совтскимъ червонцамъ, которые, впрочемъ, очень трудно обмнять на хорошую <b><i>валюту,</i></b> Л. Я. Липковская и Д. А. Смирновъ опять гастролируютъ въ россйскихъ городахъ.	EARLIER	3.8	4	4	3	4	4
валюта	И в тот же день сообщники поменяли в Черняховске европейскую <b><i>валюту</i></b> на американскую.	Он что, ошалел у вас там от страха Вот только что у меня была Лариса, она мне рассказала, что он и ее оговорил -- сказал вам, будто <b><i>валюту</i></b> ему дала она.	COMPARE	3.8	4	4	4	3	4
валюта	И мне приставляют ко лбу наган, выдергивают из кармана <b><i>валюту,</i></b> кольцо -- с мизинца.	Ченч небогатый -- двести наших по курсу (какой он тогда был!) отдаешь и получаешь конвертируемую <b><i>валюту</i></b> на законных основаниях.	EARLIER	3.2	2	4	4	3	3
валюта	"Интерпретация данного стандарта SIC 19 ""Отчетная <b><i>валюта</i></b> -- измерение и представление финансовых отчетов в соответствии с IAS 21 и IAS 29"" содержит запрет на использование в качестве общего индекса цен обменного курса национальной <b><i>валюты,</i></b> подверженной гиперинфляции."	Пенсионные накопления могут инвестироваться только в определенные объекты: в государственные ценные бумаги Российской Федерации; государственные ценные бумаги субъектов РФ; облигации российских эмитентов (за определенными исключениями); акции российских эмитентов, созданных в форме открытых акционерных обществ; паи (акции, доли) индексных инвестиционных фондов, размещающих средства в государственные ценные бумаги иностранных государств, облигации и акции иных иностранных эмитентов; ипотечные ценные бумаги; денежные средства в рублях на счетах в кредитных организациях; депозиты в рублях в кредитных организациях; иностранную <b><i>валюту</i></b> на счетах в кредитных организациях.	LATER	3.0	4	1	2	4	4
валюта	Итальянские журналисты далее сообщают, что этот счет мог использоваться только для продажи <b><i>валюты</i></b> на <b><i>валютных</i></b> биржах, коммерческим банкам и для трансфертов по приказу российского Минфина.	Тогда же, во времена первой пятилетки 1929--1933 годов, прекращается исполнение всех современных иностранных композиторов, но уже по другой, более утилитарной причине: не было лишней <b><i>валюты,</i></b> которой нужно было платить за заграничный нотный материал и авторские авторам.	COMPARE	3.6	4	2	4	4	4
